No,card,age,sex,withdrawal_days,count,CP
587,B,27,1,#VALUE!,2,1
588,B,25,1,#VALUE!,1,1
589,B,47,1,#VALUE!,1,1
590,B,53,1,#VALUE!,1,1
591,B,28,1,#VALUE!,1,1
592,A,25,1,#VALUE!,1,1
593,A,30,1,#VALUE!,1,1
594,B,21,1,#VALUE!,1,1
595,A,22,1,#VALUE!,1,1
596,B,36,0,#VALUE!,1,1
597,B,28,1,#VALUE!,1,1
598,B,56,1,#VALUE!,1,1
599,B,24,1,#VALUE!,1,1
600,B,27,1,319,1,1
601,B,21,1,#VALUE!,1,1
602,B,20,1,#VALUE!,1,1
603,B,30,1,#VALUE!,1,1
604,B,34,1,#VALUE!,1,1
605,B,55,1,#VALUE!,1,1
606,B,49,1,#VALUE!,1,1
607,B,31,1,#VALUE!,1,1
608,B,33,1,#VALUE!,1,1
609,B,31,1,241,1,1
610,B,30,1,#VALUE!,1,1
611,B,57,0,#VALUE!,1,1
612,B,31,1,#VALUE!,1,1
613,B,25,1,#VALUE!,1,1
614,B,25,1,#VALUE!,1,1
615,B,31,0,#VALUE!,1,1
616,B,32,0,241,1,1
617,B,58,1,391,1,1
618,B,27,1,#VALUE!,1,1
619,A,34,1,#VALUE!,1,1
620,B,31,1,#VALUE!,1,1
621,B,58,1,#VALUE!,1,1
622,A,23,1,275,1,1
623,B,27,1,#VALUE!,1,1
624,B,34,0,#VALUE!,1,1
625,B,33,1,136,1,1
626,B,31,1,#VALUE!,1,1
627,B,64,1,#VALUE!,1,1
628,B,35,1,#VALUE!,1,1
629,B,25,1,#VALUE!,1,1
630,B,26,1,#VALUE!,1,1
631,B,26,1,#VALUE!,1,1
632,B,56,0,#VALUE!,1,1
633,B,30,1,#VALUE!,1,1
634,B,27,1,#VALUE!,1,1
635,B,41,1,#VALUE!,1,1
636,B,26,1,#VALUE!,1,1
637,B,24,1,299,1,1
638,B,43,1,#VALUE!,1,1
639,B,26,0,#VALUE!,1,1
640,B,31,1,661,1,1
641,B,61,0,282,1,1
642,B,35,1,#VALUE!,1,1
643,R,23,1,#VALUE!,1,1
644,B,44,1,#VALUE!,1,1
645,B,31,1,#VALUE!,1,1
646,B,28,1,#VALUE!,1,1
647,B,27,1,#VALUE!,1,1
648,B,23,0,#VALUE!,1,1
649,B,28,1,548,1,1
650,B,31,1,416,1,1
651,B,24,1,#VALUE!,1,1
652,B,30,1,#VALUE!,1,1
653,A,31,1,#VALUE!,1,1
654,B,24,1,#VALUE!,1,1
655,B,65,1,297,1,1
656,B,61,0,#VALUE!,1,1
657,B,47,1,#VALUE!,1,1
658,B,21,1,#VALUE!,1,1
659,B,26,1,#VALUE!,1,1
660,B,53,1,#VALUE!,1,1
661,B,26,1,#VALUE!,1,1
662,B,58,1,#VALUE!,1,1
663,B,26,1,#VALUE!,1,1
664,B,59,1,#VALUE!,1,1
665,B,25,1,#VALUE!,1,1
666,B,25,1,#VALUE!,1,1
667,B,36,1,#VALUE!,1,1
668,B,76,1,#VALUE!,1,1
669,B,31,0,#VALUE!,1,1
670,B,26,1,#VALUE!,1,1
671,B,53,1,#VALUE!,1,1
672,A,26,1,#VALUE!,1,1
673,B,35,0,#VALUE!,1,1
674,B,26,1,324,1,1
675,B,41,1,#VALUE!,1,1
676,B,43,1,#VALUE!,1,1
677,B,52,1,#VALUE!,1,1
678,B,29,1,#VALUE!,1,1
679,B,30,1,#VALUE!,1,1
680,B,27,1,#VALUE!,1,1
